Recency,Frequency,Monetary,T
341,2,5342.4,341
7,7,431501.0,372
98,4,82378.47,372
37,1,176075.12,37
310,1,48173.37,310
37,11,241567.46,310
221,1,4357.89,221
251,1,161522.49,251
221,1,37648.28,221
37,3,161617.98,341
37,1,366359.4,37
7,2,39673.670000000006,160
7,6,672864.29,341
68,3,306242.38,221
310,1,30437.8,310
7,13,688511.11,310
129,2,53756.56,251
7,4,215049.54,129
310,3,59638.3,310
7,1,25839.440000000002,7
68,4,417753.03,372
68,2,167307.32,68
98,3,115169.81,310
310,1,28312.37,310
37,1,66577.75,37
7,3,36360.4,98
341,2,164885.7,372
129,1,604145.45,129
98,3,105708.76000000001,190
37,5,283392.46,190
7,6,206368.76,129
190,6,222610.77,372
37,3,66557.46,129
341,2,28316.56,372
37,6,252667.99,341
98,1,66785.3,98
37,1,253598.89,37
98,4,178735.91,341
68,2,60148.57,221
37,15,427347.96,372
37,2,278068.09,160
68,1,204266.06,68
129,4,158016.72,282
310,1,17283.4,310
341,1,36552.16,341
68,2,13749.32,68
160,1,122187.79000000001,160
37,3,310029.79,190
68,5,186352.68,282
37,9,253373.33000000002,282
98,7,324698.54,190
310,3,61744.66,310
98,3,159888.55000000002,190
68,5,109854.74,341
221,3,55774.39,310
37,26,1944187.0,341
7,12,532728.74,372
129,1,108728.73,129
68,1,60791.87,68
37,5,120314.6,341
98,3,89740.0,341
7,9,299025.94,372
190,2,66385.45,190
98,1,101635.55,98
221,1,64423.78,221
37,5,105999.6,372
37,12,780310.63,282
37,4,219920.34,372
68,1,13697.39,68
37,18,541433.7,372
68,5,306154.57,190
7,7,1041010.62,372
98,4,152672.79,372
98,2,101148.54,282
98,1,37832.96,98
7,19,517110.85,341
37,2,272767.92,160
372,1,40781.32,372
7,1,21563.65,7
37,5,456209.69,190
37,1,9383.41,37
68,1,112599.03,68
251,1,66037.09,251
68,1,55133.65,68
37,4,445251.36,190
160,2,20098.899999999998,190
37,6,817653.44,341
37,3,42101.1,37
160,1,119409.38,160
68,2,82346.66,68
98,6,229091.6,310
68,4,382840.43,282
68,12,179996.08,251
98,2,87334.81,310
98,2,93725.56999999999,160
7,4,196093.01,310
68,7,247879.52,251
37,8,60952.03,310
7,3,111615.44,190
160,3,104308.31,341
7,49,1351390.04,372
37,13,927503.2,372
37,9,467491.63,190
37,30,1198462.21,372
68,1,82538.12,68
7,20,671115.8,372
37,9,799397.41,310
7,1,100444.79000000001,7
7,3,99937.72,37
37,4,390183.74,341
37,11,567524.67,372
37,13,198902.62,341
37,8,856352.98,341
37,3,116253.34,98
341,1,30462.03,341
7,10,630004.55,341
37,1,58867.68,37
68,2,45247.52,129
190,3,58920.39,221
37,13,214807.05,372
98,1,46060.87,98
37,3,55777.82,68
37,13,159061.43,341
341,2,432544.63,341
98,5,369357.34,310
341,1,984.6,341
37,4,43814.619999999995,37
310,1,4735.36,310
251,1,66333.0,251
160,4,56400.76,310
37,2,172952.53,37
310,1,33776.46,310
160,2,77315.62,341
68,2,64773.0,68
98,2,96874.05,129
282,1,108784.52,282
372,1,26832.8,372
98,2,63849.31,190
37,6,751369.44,190
7,5,340254.36,129
68,1,45401.06,68
98,6,455111.95,282
160,1,91236.31999999999,160
68,2,31564.38,68
7,13,257626.78,341
37,8,389618.3,341
7,3,165732.83,98
98,3,57273.36,341
37,8,241009.11,341
68,5,167080.12,341
37,1,37309.4,37
37,1,36965.63,37
129,1,145122.73,129
98,2,76617.2,190
7,5,655384.95,68
37,1,49731.35,37
37,5,644016.77,341
37,19,1123549.76,372
37,3,118408.69,282
37,2,57648.64,37
98,2,130607.94,282
68,3,177828.01,98
221,2,25398.379999999997,282
190,1,16300.9,190
98,1,138743.17,98
372,1,25556.19,372
37,2,43372.18,68
7,14,521494.22,341
68,2,346168.37,160
37,5,66441.35,372
7,2,50578.490000000005,7
310,3,57244.44,341
7,4,271122.07,160
310,1,68068.38,310
7,7,489463.93,221
282,1,51285.32,282
282,2,25933.36,310
98,2,56563.92,98
37,11,1236543.23,372
7,35,477301.68,251
68,2,71284.35,129
7,3,145601.35,68
251,1,61040.44,251
341,1,33392.73,341
37,6,207386.9,310
37,4,337343.36,372
37,4,298317.01,341
98,3,80314.2,98
251,1,48780.4,251
68,1,39834.61,68
251,2,44363.11,310
7,18,547510.4,372
7,18,327275.04,282
251,4,219493.55,372
37,2,32467.56,372
7,1,6867.8099999999995,7
68,1,21605.08,68
37,2,90281.64,160
190,3,150441.71,221
341,1,57861.55,341
98,2,35188.38,221
129,3,48952.35,221
37,11,343717.22000000003,341
68,2,64399.53,251
37,5,491017.15,282
37,9,341431.71,310
37,7,132408.76,310
37,11,154047.48,372
190,6,62897.55,341
68,1,28803.260000000002,68
37,1,11580.1,37
98,2,44911.65,282
372,1,12564.19,372
68,2,525145.58,68
98,3,136117.68,341
37,7,281371.79,129
68,1,166484.01,68
68,2,66564.72,98
37,6,410409.81,282
282,1,59353.61,282
7,4,277978.14,190
98,5,91167.76,310
37,1,125568.03,37
37,1,25677.49,37
37,13,257918.54,282
37,3,214184.98,221
7,23,1116093.1300000001,372
251,1,30729.21,251
282,1,42649.520000000004,282
129,2,123962.13,190
221,3,248436.17,341
37,13,788897.17,341
37,7,557073.51,160
7,4,129261.39,68
37,2,176365.88,68
68,1,61220.32,68
68,5,274962.28,310
98,2,251521.74,160
68,10,927869.78,341
37,1,89893.9,37
251,1,48390.54,251
37,3,123705.38,98
129,1,27135.84,129
37,3,130167.2,129
129,6,61789.61,341
129,1,81522.06,129
37,5,159959.89,341
7,2,109347.67,68
37,13,327642.59,372
160,1,51506.53,160
129,4,84790.27,372
7,1,60688.13,7
341,1,19062.5,341
341,2,143557.86,341
160,2,112462.02,310
37,5,85058.88,310
37,8,297451.81,251
37,5,127580.72,98
37,1,91619.56,37
37,1,9620.599999999999,37
37,1,26553.64,37
7,12,597073.88,372
7,10,86232.46,341
341,2,3346.23,341
372,1,6171.55,372
68,1,90453.65,68
7,6,416929.38,372
160,4,240739.13,282
37,6,196991.19,251
341,1,26337.91,341
7,2,88085.51,341
37,7,236932.76,221
37,6,106702.85,310
68,13,423180.76,372
68,9,172047.4,282
7,4,135828.55000000002,129
37,27,1550022.12,372
7,31,1357209.51,372
7,20,971330.14,372
7,7,283119.19,221
37,6,367672.12,98
372,1,10484.83,372
129,1,411340.82,129
37,2,218690.78,129
221,1,36448.61,221
37,6,89529.75,372
129,6,116778.59,341
98,2,100424.5,190
7,4,65675.40000000001,221
37,5,111554.02,190
7,6,702760.5,221
98,2,140302.02,251
37,1,59776.28,37
68,2,58367.81,98
7,10,248030.52,190
37,14,947897.59,372
310,1,85627.83,310
37,16,455839.17,372
7,26,628053.21,372
98,4,202481.51,221
37,17,373352.41,372
7,1,84926.02,7
37,5,624751.87,310
129,1,67148.81,129
7,2,176034.56,160
160,3,147777.95,251
98,1,44483.56,98
7,3,118785.73,68
7,29,916521.68,372
37,7,466896.05,372
98,6,155654.69,160
7,5,183264.64,68
7,4,145300.63,341
372,1,82832.15,372
37,7,328641.56,372
37,9,352755.12,341
98,4,120059.77,341
129,1,90717.86,129
37,14,694216.18,372
190,1,21778.18,190
251,1,53205.19,251
372,1,7466.76,372
341,2,106369.89,341
341,1,11702.0,341
372,1,33761.71,372
98,2,90889.93000000001,98
68,1,60540.16,68
160,2,319162.63,160
68,10,640578.06,341
7,11,278907.21,372
7,224,11912482.34,372
7,8,615619.11,221
129,1,42300.090000000004,129
98,1,119563.0,98
7,11,560320.33,372
251,5,164573.54,310
251,4,13432.92,372
98,1,9561.32,98
37,19,907833.46,221
129,2,220751.04,282
68,3,233554.63,282
7,2,178612.05000000002,37
160,2,47405.16,372
341,1,114803.09,341
7,7,836637.32,372
251,1,76349.08,251
221,1,26281.81,221
68,1,115826.11,68
37,6,202878.12,310
37,7,134781.31,341
37,12,402027.14,372
37,5,75545.97,310
7,6,282050.17,372
7,8,194315.89,98
37,2,127546.93000000001,37
7,2,46653.18,372
37,3,49123.24,221
68,1,10336.68,68
221,1,68688.03,221
372,1,1305.7,372
282,1,40498.43,282
341,2,88451.78,372
68,2,107980.01,98
37,1,36532.54,37
372,3,44174.67,372
37,3,14566.68,190
190,2,65446.34,190
37,3,77570.15,372
190,2,66292.25,190
282,3,85955.24,310
68,1,55851.25,68
129,1,3226.7900000000004,129
160,2,104650.32,221
98,2,64672.25,190
282,1,9683.35,282
190,2,30800.7,282
7,4,142047.19,341
221,1,12523.14,221
98,3,84949.33,98
98,5,22279.64,310
68,1,70134.12,68
7,8,255168.62,372
7,3,56689.26,68
7,6,124149.78,129
341,3,22044.53,372
37,7,78107.61,190
282,1,25543.13,282
37,2,74764.53,98
160,1,65253.049999999996,160
282,1,42330.240000000005,282
68,4,412861.14,310
190,1,23193.73,190
37,2,362325.8,372
7,16,867757.04,372
160,6,304763.77999999997,251
7,26,1025280.59,372
98,2,97486.46,310
68,9,284463.44,282
37,2,115933.76,129
282,4,54580.25,310
37,1,253640.4,37
37,2,110068.89,282
98,1,127904.22,98
310,2,34448.52,310
129,9,197523.46,341
98,5,281745.23,341
372,1,6166.5,372
7,8,718270.23,68
221,2,132283.93,310
68,2,19899.06,221
160,1,2601.18,160
37,3,246395.84,372
282,1,43891.58,282
37,10,1377671.65,372
190,6,265615.99,372
372,1,3130.69,372
98,2,31876.32,221
341,2,166025.02,372
282,1,11614.99,282
160,2,10145.7,372
68,2,205777.86,221
7,12,437712.27,372
37,3,108656.0,282
68,4,27742.4,98
282,1,18812.469999999998,282
37,2,27355.0,37
37,4,158886.5,98
98,1,15977.05,98
68,4,179946.67,129
68,3,217268.83,221
221,4,16575.15,282
37,1,229965.89,37
190,3,9567.029999999999,310
37,1,76672.42,37
68,3,64519.81,98
221,2,4259.0599999999995,310
7,36,307135.27,282
282,1,25004.73,282
37,2,197212.82,190
37,5,150647.0,98
68,4,24717.760000000002,341
68,8,243043.59,282
37,8,175996.37,251
7,5,52156.94,68
7,5,128124.58,372
160,2,65518.59,372
160,5,287924.78,341
129,1,2928.2799999999997,129
7,8,120021.47,190
37,1,86104.78,37
7,50,1800032.86,372
160,1,63402.08,160
68,1,49664.42,68
98,5,91172.88,341
7,2,113615.82,98
37,5,244725.28,372
129,2,19605.629999999997,310
98,4,71841.82,190
37,20,288971.28,372
37,4,292229.25,282
7,8,336359.2,341
37,5,160039.75,98
37,4,323008.7,282
37,1,16355.099999999999,37
68,8,114618.69,341
68,4,249346.73,98
160,3,191599.63,372
310,1,3744.72,310
37,2,80358.89,372
310,1,73759.95,310
160,11,275126.6,372
37,8,377842.68,282
37,10,530588.71,251
7,3,47266.39,37
7,8,198540.68,341
7,5,203418.53,98
37,1,47587.19,37
7,14,493966.03,282
310,1,52827.13,310
7,12,609745.84,341
7,2,29950.64,129
7,9,233014.72,372
98,1,330078.66000000003,98
37,1,11465.36,37
7,4,114005.17,372
129,1,11204.1,129
7,4,395587.75,341
7,89,753251.92,372
221,1,22277.73,221
221,1,74980.16,221
160,1,12839.91,160
160,12,53629.869999999995,372
37,2,63224.14,160
251,2,90948.1,251
37,1,8463.99,37
7,3,187394.03,37
98,3,83405.03,221
310,1,257724.78,310
7,19,198762.17,372
37,3,26925.02,310
37,2,66119.27,129
37,4,63568.65,310
7,5,173927.37,282
98,2,9530.15,98
37,7,169160.63,341
221,3,74799.39,251
129,3,64024.02,372
7,15,877866.22,341
341,1,23140.12,341
129,3,14210.570000000002,221
37,22,1128569.47,372
190,3,64989.409999999996,251
68,1,19008.66,68
341,2,35976.55,372
372,1,6022.16,372
37,11,289624.3,310
7,15,560668.8,372
7,16,317002.57,282
68,5,453705.15,251
98,3,110061.34,129
7,1,4288.75,7
37,29,1134387.49,310
7,12,307237.89,372
68,2,96873.65,129
7,8,107545.64,282
129,6,80473.19,372
37,3,114117.21,68
37,3,17972.75,372
37,2,235504.87,372
37,3,203406.25,98
372,1,38982.39,372
68,2,96380.75,372
68,3,71721.14,282
160,3,111507.21,282
98,3,75972.55,310
7,2,114961.27,37
282,2,37174.74,282
310,1,82850.70999999999,310
98,1,38669.11,98
37,2,89375.64,282
37,18,537358.8200000001,372
37,5,328421.62,341
68,2,47893.46,341
37,28,1077220.51,372
221,1,54550.18,221
68,4,240184.12,221
37,3,24804.489999999998,160
251,1,14369.98,251
282,1,21239.73,282
98,1,15083.3,98
190,1,17542.09,190
37,4,167734.98,341
372,1,36312.56,372
37,3,97733.56,37
98,1,21197.75,98
37,2,1858.41,341
7,27,1112672.28,372
221,1,24473.04,221
282,1,19603.45,282
129,1,44215.15,129
7,4,279455.7,372
7,43,912701.72,372
7,5,18162.1,160
190,1,6428.3,190
7,21,2638158.3,372
129,10,244651.78,341
7,2,51451.8,98
160,3,64151.47,310
7,118,4739395.74,372
7,18,416705.76,372
37,2,75308.68000000001,37
98,6,83263.84,372
282,13,423408.18,372
37,16,41425.46,372
98,1,15108.060000000001,98
37,14,1141717.7,372
7,41,1576223.47,341
98,1,1925.25,98
251,1,20428.0,251
7,27,815199.1900000001,372
68,1,26358.45,68
7,6,48864.01,372
129,2,2933.04,160
68,5,166677.66,341
372,1,14617.16,372
7,5,123761.02,160
37,8,372117.65,310
7,40,701501.51,372
7,14,336289.84,372
129,2,112840.89,160
37,8,176428.77000000002,372
37,7,191878.59,310
251,1,385.84,251
282,2,127636.33,282
98,2,110007.17,251
98,3,609551.28,372
7,10,364989.88,372
98,1,20555.52,98
98,1,3427.29,98
37,4,140577.02,190
282,1,12382.490000000002,282
282,2,18003.769999999997,310
98,7,293751.89,251
221,1,2515.35,221
68,11,330101.65,372
37,9,1773029.69,310
37,6,177635.77,372
37,8,455127.97000000003,282
129,3,140007.2,372
98,6,361388.38,341
37,1,67468.05,37
341,1,7257.400000000001,341
68,5,15067.330000000002,372
37,1,37872.68,37
37,4,7863.44,98
37,17,896262.27,372
37,4,233330.09,310
221,2,199487.22,310
7,1,33413.99,7
160,1,4494.64,160
37,4,216211.07,372
68,5,224771.42,310
98,4,204095.82,341
7,5,301420.97000000003,129
37,1,14167.08,37
341,1,16781.66,341
129,5,211129.18,341
68,2,106805.06999999999,372
282,2,76747.31,282
37,4,148310.89,160
37,5,315161.05,341
68,2,24476.57,251
37,1,81897.12,37
7,5,117289.81000000001,310
7,2,126414.07,372
37,3,798119.26,372
68,1,191246.75,68
68,1,29473.26,68
37,11,686379.8,372
68,1,20667.23,68
7,9,218851.88999999998,341
37,12,445212.98,310
282,1,3617.4,282
68,5,198740.05,129
341,1,130229.06,341
37,1,514.55,37
37,2,55332.15,129
98,2,162558.19,221
68,1,61054.060000000005,68
160,1,10127.099999999999,160
37,4,278867.93,282
37,8,631584.35,372
7,39,330852.97,372
37,4,118094.31,129
37,4,118643.48,251
37,2,21631.87,160
68,7,328768.86,310
37,11,809863.96,372
98,1,59635.86,98
37,3,155689.59,372
37,4,371865.76,68
68,6,244237.78,221
282,1,4371.66,282
129,5,18390.0,160
129,1,9910.25,129
98,4,43522.32,251
251,2,176013.96,372
221,2,18200.98,251
68,3,297829.01,160
7,8,88782.52,372
282,1,45063.97,282
221,1,18576.02,221
98,1,6672.5,98
251,1,28745.0,251
7,15,1567205.17,372
37,7,506534.95,251
98,2,106105.76000000001,341
221,2,148403.7,221
37,3,96160.93000000001,129
37,5,81180.14,372
282,1,59977.14,282
98,4,176150.82,372
129,3,29372.010000000002,221
221,1,156099.37,221
98,1,80865.82,98
68,1,39962.87,68
37,7,349858.96,341
37,4,38357.27,98
129,2,82951.48,190
98,3,62254.44,282
160,2,111724.54,341
7,3,32192.899999999998,372
37,1,618.6,37
37,3,128499.74,221
68,1,187085.4,68
68,1,24655.010000000002,68
282,2,28883.34,310
282,1,26356.41,282
7,35,4233075.5200000005,341
68,5,206392.06,282
37,19,449818.1,372
7,27,556534.66,372
37,15,1133420.9,282
7,17,826257.97,372
372,1,4158.400000000001,372
37,2,275037.61,37
37,2,43716.96,98
129,1,34941.81,129
68,2,77900.88,98
37,4,18743.33,160
68,1,123390.76,68
68,2,17985.600000000002,98
129,3,224160.77,341
37,6,98391.66,221
68,2,11781.7,190
341,2,41192.380000000005,341
37,4,462664.08,310
160,1,99119.92,160
37,2,100743.52,310
190,2,156638.74,251
372,2,24095.21,372
160,1,17677.519999999997,160
7,4,147570.07,68
7,1,1019.64,7
282,1,15005.429999999998,282
190,2,69555.12,190
129,4,205118.46,310
160,1,274.93,160
372,1,54420.42,372
7,10,238931.28,372
129,1,1308.2,129
37,4,147070.34,221
7,5,264375.95,310
7,6,206065.44,341
7,2,66028.88,160
37,5,201050.7,341
7,4,189667.85,98
37,5,218254.39,282
68,9,358540.89,372
7,3,44039.46,37
7,36,1257587.3800000001,372
98,6,295173.42,221
98,2,24530.5,98
37,1,67826.31,37
7,5,55177.0,98
37,12,189652.95,372
98,1,20542.96,98
37,9,285975.09,372
341,1,54769.18,341
37,4,50412.44,372
98,3,120259.71,341
37,1,46605.35,37
98,3,651733.84,310
98,1,127083.1,98
160,3,62050.64,160
221,1,139406.98,221
68,7,380141.55,282
282,1,114966.85,282
190,2,69622.65,190
68,3,296652.2,282
282,2,47966.23,310
98,1,25890.23,98
68,1,45144.78,68
37,1,30319.57,37
37,3,101482.51,98
68,1,29679.62,68
7,2,68983.25,68
98,1,141300.4,98
129,1,67352.71,129
98,1,79385.73,98
282,1,254605.38,282
282,1,77019.38,282
68,2,58758.229999999996,68
7,5,477433.13,310
37,2,175536.97,68
68,2,41672.33,98
7,3,301208.22000000003,221
68,1,99.12,68
282,2,82803.68000000001,341
372,2,52694.62,372
372,2,115846.14,372
98,1,61481.02,98
68,3,456266.0,282
98,2,95085.68000000001,98
98,3,126801.13,251
37,3,220159.92,160
37,7,421702.86,310
282,1,44007.43,282
37,9,377037.19,190
341,1,82884.19,341
129,3,86394.04,160
37,3,120340.43,251
98,1,27135.86,98
221,1,2184.06,221
7,10,406565.87,310
190,1,58425.15,190
37,4,111684.96,341
98,6,84782.16,341
221,1,48681.99,221
129,2,95724.03,372
37,1,15437.17,37
7,2,26413.440000000002,221
98,3,53610.38,341
7,81,1242486.09,372
7,7,75370.97,310
129,1,39634.31,129
160,3,62682.61,310
68,2,42713.36,98
7,2,86481.32,221
37,23,782821.54,372
68,1,38545.83,68
160,4,28788.300000000003,190
68,3,248514.52,310
68,2,327440.9,68
129,3,195074.16,310
7,12,362950.82,372
37,3,47745.5,221
37,1,185279.43,37
37,4,179853.24,98
37,4,128882.95,98
68,2,126882.84,98
98,2,31842.66,98
7,9,263318.81,190
7,1,54500.13,7
37,7,457967.07,190
282,1,146113.37,282
98,1,36609.42,98
37,4,165898.71,37
37,10,555869.77,372
37,1,39761.479999999996,37
37,6,177728.68,221
37,6,1032821.24,341
282,2,1834.88,282
190,2,47270.72,310
37,4,170312.06,372
37,7,214846.74000000002,221
7,22,1060816.82,372
37,2,68531.28,68
37,3,64267.96,190
190,2,45963.340000000004,251
68,1,71027.14,68
129,2,35216.06,190
37,2,264631.89,37
7,41,719205.22,372
98,2,31151.47,129
7,4,549321.44,68
68,3,51184.72,341
251,1,174758.77,251
190,4,216703.5,310
190,4,127979.02,282
37,8,178700.68,310
221,3,39695.15,251
68,8,284459.7,372
251,1,20348.31,251
68,1,29036.69,68
251,1,23047.83,251
251,1,51103.600000000006,251
98,3,167518.5,160
68,3,93822.75,372
37,17,1101444.3,372
129,4,22989.35,310
68,10,230273.73,372
160,3,128024.8,221
282,2,24494.85,310
310,1,43666.380000000005,310
7,6,166628.44,372
37,3,97865.95,372
282,3,57185.76,372
37,7,108086.05,282
37,4,159629.5,129
251,2,122461.0,310
37,3,40216.68,341
98,1,44194.91,98
68,1,54041.63,68
68,8,586465.68,251
341,3,88926.24,372
7,4,398380.14,160
251,1,32444.920000000002,251
7,7,100532.34,310
7,5,297126.79,190
282,1,43210.71,282
129,1,16832.99,129
98,1,10876.96,98
98,4,160445.80000000002,251
37,3,102845.72,251
68,5,355872.15,190
98,1,117506.78,98
68,2,23436.829999999998,98
68,8,221776.13,372
7,3,1061498.06,37
37,1,15633.89,37
37,6,399338.3,372
68,5,65341.04,221
37,2,7907.84,251
37,8,635571.68,341
98,2,50916.42,221
221,2,50740.19,372
37,1,171956.06,37
190,3,203449.23,282
7,43,874610.06,372
7,7,435572.96,98
68,7,62195.79,341
98,4,97796.19,310
68,2,210634.65,251
37,3,213700.57,221
98,2,300185.72,251
37,8,106548.15000000001,251
341,1,13323.57,341
68,16,294454.3,341
98,4,321336.72000000003,221
37,2,89538.92,282
7,4,390719.66000000003,68
7,1,92952.99,7
221,1,39817.450000000004,221
98,3,252750.2,251
98,2,116149.94,160
160,5,156926.22,372
37,2,90023.13,341
68,2,449343.66000000003,98
190,1,115558.2,190
37,2,256877.09,372
251,1,80085.72,251
37,12,835955.39,282
221,1,96604.87,221
68,2,91930.29,282
37,5,111408.33,190
37,20,354629.35,372
37,5,232857.02,251
37,2,41689.81,372
310,1,27397.45,310
160,1,117878.51,160
310,1,50268.61,310
37,3,31245.760000000002,68
37,13,466352.11,282
37,2,65864.05,190
37,7,261061.41,310
68,3,159948.29,282
37,4,50524.66,282
129,6,354954.52,341
68,1,71873.94,68
7,2,439180.02999999997,37
68,2,104590.31,68
7,33,697797.79,372
341,1,47495.56,341
68,2,268860.19,221
68,1,55409.02,68
37,1,48147.75,37
37,3,125962.21,310
68,1,272516.01,68
37,9,510006.26,310
98,4,165316.25,372
37,4,505431.49,341
341,2,67267.89,341
68,3,124527.99,190
190,1,44228.090000000004,190
129,1,52362.48,129
37,7,211549.87,310
251,1,51222.82,251
68,7,261845.3,372
37,11,163224.69,341
7,11,263738.97000000003,310
98,12,28370.63,282
37,6,380855.26,251
37,5,476900.72000000003,341
68,1,164872.65,68
37,6,168588.29,310
68,3,238942.9,251
37,1,19847.23,37
98,1,86734.67,98
221,1,162514.45,221
37,3,44532.34,190
7,5,353585.57,129
129,1,5971.1,129
37,5,187745.32,251
282,2,56307.48,372
37,7,216934.65,282
37,2,22077.86,68
68,3,191070.64,372
68,6,405233.59,282
129,2,146244.18,251
190,2,123607.61,341
37,2,33817.22,221
37,7,266359.03,221
221,3,316431.23,341
98,7,153387.92,282
190,1,26632.350000000002,190
68,3,35841.06,310
160,1,255394.62,160
7,29,1266981.16,372
68,2,14004.16,160
98,1,70319.98,98
310,6,38168.5,341
37,2,169359.89,37
160,2,66960.99,310
160,1,46851.619999999995,160
7,5,596223.43,341
37,4,143215.76,160
190,1,8076.55,190
310,2,58308.42,310
7,7,86301.37,68
190,1,19808.02,190
68,1,17268.29,68
68,1,19887.06,68
37,5,130092.94,251
341,2,13971.68,341
7,60,1544184.98,372
37,15,192677.37,282
37,1,40682.59,37
160,1,40914.0,160
37,10,509166.29,341
341,1,112.95,341
7,10,311530.57,98
7,3,60918.86,372
310,1,63182.83,310
282,2,105357.99,341
282,1,99597.06,282
7,17,869106.65,341
37,1,29630.4,37
221,2,32391.77,221
251,1,27602.84,251
282,8,275050.62,372
282,1,60193.68,282
37,7,274317.85,310
251,2,42717.420000000006,310
37,5,164200.62,251
129,4,116501.07,282
37,1,68856.3,37
129,4,208459.65,282
221,1,10056.54,221
68,11,294830.98,310
37,2,128819.66,129
37,2,49977.009999999995,37
37,6,163568.09,310
160,2,106281.28,160
221,2,108711.59,251
37,1,78771.63,37
37,8,552795.72,251
7,3,475232.51,282
221,1,90127.68000000001,221
37,1,9664.279999999999,37
251,1,54784.46,251
98,4,82674.37,221
37,14,857114.68,341
7,8,99600.34,282
98,2,171506.12,310
160,2,66271.73,190
372,1,1058.89,372
98,5,67824.85,372
68,5,53741.81,341
310,1,10266.48,310
129,6,178611.2,251
310,1,89890.27,310
160,2,25047.75,341
7,10,876902.87,68
7,15,396255.19,372
37,7,330178.68,372
37,2,82720.06,98
68,2,136472.08,282
68,2,148649.36,190
221,2,28794.02,221
68,3,39190.3,190
98,3,553777.09,341
7,52,1019774.73,372
7,16,354993.38,372
68,5,322025.26,251
37,3,514539.88,251
98,1,69742.26,98
7,41,560752.2,372
129,1,26599.14,129
7,2,128506.21,190
251,1,34760.5,251
37,6,311392.61,341
37,11,67842.05,341
372,1,10319.400000000001,372
98,2,68335.72,372
7,1,106682.19,7
68,3,51133.15,190
68,2,29615.07,310
7,63,1123404.12,372
129,2,105317.24,310
310,1,79143.27,310
68,1,53772.1,68
160,6,153808.75,372
282,1,27285.64,282
37,7,372805.36,310
68,2,32915.2,129
68,1,26983.07,68
372,1,17628.260000000002,372
7,5,202817.91,98
310,1,49685.33,310
37,4,98311.06999999999,68
190,4,26795.27,251
68,3,89337.48000000001,129
68,5,180522.67,160
68,3,165658.06,160
37,5,446880.67,341
37,4,79378.07,68
